"V1","V2","V3","V4","V5","V6","V7","V8"
202407,20240701,12,241,"부산대양산캠퍼스역",129.0139408,35.316955,0
202407,20240701,12,242,"남양산역",129.019457,35.325359,0
202407,20240701,12,243,"양산역",129.026391,35.33872773,0
202407,20240701,12,302,"망미역",129.108225,35.171528,0
202407,20240701,12,303,"배산역",129.095498,35.173504,0
202407,20240701,12,304,"물만골역",129.085748,35.176808,0
202407,20240701,12,305,"연산역(3호선)",129.081526,35.186173,0
202407,20240701,12,306,"거제역",129.073941,35.188589,0
202407,20240701,12,307,"종합운동장역",129.067504,35.19125,0
202407,20240701,12,308,"사직역",129.064996,35.198998,0
202407,20240701,12,309,"미남역(3호선)",129.068061,35.205503,0
202407,20240701,12,310,"만덕역",129.036527,35.213,0
202407,20240701,12,311,"남산정역",129.023928,35.21334,0
202407,20240701,12,312,"숙등역",129.012749,35.21197,0
202407,20240701,12,313,"덕천역(3호선)",129.005671,35.210215,0
202407,20240701,12,314,"구포역",128.996366,35.206697,0
202407,20240701,12,315,"강서구청역",128.981756,35.211247,0
202407,20240701,12,316,"체육공원역",128.9696515,35.212577,0
202407,20240701,12,317,"대저역",128.9610488,35.213386,0
202407,20240701,12,402,"동래역(4호선)",129.077082,35.204834,0
202407,20240701,12,403,"수안역",129.083806,35.201828,0
202407,20240701,12,404,"낙민역",129.090774,35.200254,0
202407,20240701,12,405,"충렬사역",129.097636,35.199859,0
202407,20240701,12,406,"명장역",129.101517,35.205143,0
202407,20240701,12,407,"서동역",129.107683,35.213333,0
202407,20240701,12,408,"금사역",129.115153,35.215829,0
202407,20240701,12,409,"반여농산물시장역",129.124061,35.217779,0
202407,20240701,12,410,"석대역",129.137179,35.21811162,0
202407,20240701,12,411,"영산대역",129.146149,35.225777,0
202407,20240701,12,412,"윗반송역",129.154024,35.232506,0
202407,20240701,12,413,"고촌역",129.1604437,35.236031,0
202407,20240701,12,414,"안평역",129.171823,35.237363,0
202407,20240701,12,95,"다대포해수욕장",128.9641,35.04867,0
202407,20240701,12,96,"다대포항역",128.9713,35.05782,0
202407,20240701,12,97,"낫개역",128.979873,35.065265,0
202407,20240701,12,98,"신장림역",128.977041,35.074433,0
202407,20240701,12,99,"장림역",128.9775,35.08109,0
202407,20240701,13,100,"동매역",128.9742,35.0899,0
202407,20240701,13,101,"신평역",128.960564,35.095179,0
202407,20240701,13,102,"하단역",128.966803,35.10618,0
202407,20240701,13,103,"당리역",128.973846,35.103532,0
202407,20240701,13,104,"사하역",128.9831,35.099847,0
202407,20240701,13,105,"괴정역",128.992144,35.099816,0
202407,20240701,13,106,"대티역",128.999936,35.103126,0
202407,20240701,13,107,"서대신역",129.012178,35.110937,0
202407,20240701,13,108,"동대신역",129.017684,35.110452,0
202407,20240701,13,109,"토성역",129.019776,35.100727,0
202407,20240701,13,110,"자갈치역",129.02667,35.097372,0
202407,20240701,13,111,"남포역",129.034869,35.097953,0
202407,20240701,13,112,"중앙역",129.036371,35.103837,0
202407,20240701,13,113,"부산역",129.0397,35.115224,0
202407,20240701,13,114,"초량역",129.043039,35.121168,0
202407,20240701,13,115,"부산진역",129.047894,35.127787,0
202407,20240701,13,116,"좌천역",129.054455,35.134361,0
202407,20240701,13,117,"범일역",129.059352,35.140952,0
202407,20240701,13,118,"범내골역",129.059261,35.1474,0
202407,20240701,13,119,"서면역(1호선)",129.059556,35.158282,0
202407,20240701,13,120,"부전역",129.062952,35.162587,0
202407,20240701,13,121,"양정역",129.071366,35.173122,0
202407,20240701,13,122,"시청역",129.076642,35.179837,0
202407,20240701,13,123,"연산역",129.081534,35.186168,0
202407,20240701,13,124,"교대역",129.080035,35.19605,0
202407,20240701,13,125,"동래역",129.078506,35.205641,0
202407,20240701,13,126,"명륜역",129.079659,35.212551,0
